,name,lat,lon,id,operator,public_transport,railway,source,alt_name,network,station,subway,wheelchair,wikidata,wikipedia,addr:city,addr:housenumber,addr:street,light_rail,train,addr:country,addr:province,phone,website,railway:ref,addr:postcode,iata,internet_access,internet_access:fee,name:en,ref:amtrak,ref:via_rail,network:wikidata,name:es,name:fr,short_name,start_date,network:en,network:fr,operator:short,operator:wikidata,toilets:wheelchair,note,name:ko,elevator,platforms,defibrillator:location,check_date:wheelchair,air_conditioning,level,construction,opening_date
0,Fort Edmonton,45.5226413,-73.5357907,427850112,La Ronde,station,station,http://www.laronde.com/larondefr/ride_detail.asp?ride=24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Village,45.5265367,-73.5366578,427850113,La Ronde,station,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Outremont,45.5201103,-73.6148897,1765620875,Société de transport de Montréal,station,station,,Metro Outremont,Métro,subway,yes,no,Q1633093,en:Outremont station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kirkland,45.4403141,-73.885608,2437600094,,station,station,NRCan-CanVec-10.0,,REM,light_rail,,,,,Kirkland,3000,Rue Jean-Yves,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sainte-Thérèse,45.6359843,-73.8341213,5270468348,Exo,station,station,,,exo,,,limited,Q3095558,fr:Gare Sainte-Thérèse,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lucien L'Allier,45.4950136,-73.5709494,5360360498,Société de transport de Montréal,station,station,,,,subway,yes,no,,,Montréal,955,Rue Lucien-L'Allier,,,CA,QC,+1 514 786 4636,http://www.stm.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saint-Bruno,45.5119931,-73.3744884,6288554158,Exo,station,station,,,exo,,,,Q3095540,fr:Gare Saint-Bruno,,,,,yes,,,,,STBR,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Longueuil–Saint-Hubert,45.5080094,-73.4351724,6288821003,exo,station,station,,,exo,,,,Q3095544,fr:Gare Longueuil–Saint-Hubert,,,,,yes,,,,,STHB,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Gare de Saint-Lambert,45.4990295,-73.5074207,6291407276,VIA Rail Canada,station,station,,,VIA Rail;exo;Amtrak,,,,Q3095548,fr:Gare Saint-Lambert,,329,Avenue Saint-Denis,,yes,,QC,,,SLAM,J4P 2G5,XLM,yes,no,Saint-Lambert Station,SLQ,SLAM,,,,,,,,,,,,,,,,,,,,
9,Canora,45.5139038,-73.6343987,6295440196,rem,station,station,,,REM,light_rail,yes,,Q3095500,fr:Gare Canora (exo),Mont-Royal,7300,Chemin Canora,yes,,,,,,CANR,,,,,,,,Q19582331,,,,,,,,,,,,,,,,,,,
10,Mont-Royal,45.5165342,-73.6435536,6295440197,REM,station,station,,,REM,light_rail,yes,,Q3095522,fr:Gare Mont-Royal,Ville de Mont-Royal,1275,Chemin Dunkirk,yes,,,QC,,,MTRY,H3R 1G8,,,,,,,Q19582331,,,,,,,,,,,,,,,,,,,
